EmployeeID,Name,Department,Age,Experience,Salary,JoiningDate,Rating,RemoteWorker,ManagerID
1,Emp_1,Engineering,50,4,39383,20-09-2016,1.1,FALSE,135
2,Emp_2,HR,31,29,100172,08-12-2010,2.5,TRUE,138
3,Emp_3,Engineering,35,17,129773,21-12-2014,4,TRUE,136
4,Emp_4,Engineering,44,29,109044,24-04-2011,4.9,FALSE,192
5,Emp_5,Finance,57,15,60628,01-06-2016,3.3,FALSE,156
6,Emp_6,Support,56,20,34748,02-10-2011,3.9,TRUE,158
7,Emp_7,Sales,47,30,130113,10-12-2013,3.7,TRUE,134
8,Emp_8,Sales,48,12,140043,22-03-2010,1.2,TRUE,161
9,Emp_9,Support,43,15,42987,16-09-2014,3.3,TRUE,149
10,Emp_10,Finance,41,10,39307,24-10-2011,2,TRUE,113
11,Emp_11,HR,44,8,49606,04-09-2022,1.4,TRUE,132
12,Emp_12,HR,54,12,104607,20-11-2022,2.3,FALSE,176
13,Emp_13,Engineering,39,21,56724,14-11-2016,1.9,TRUE,100
14,Emp_14,Support,42,4,,24-02-2012,4.1,TRUE,194
15,Emp_15,Sales,56,15,121329,06-03-2023,2.5,FALSE,199
16,Emp_16,HR,,4,40900,23-09-2018,1.5,TRUE,190
17,Emp_17,Finance,53,13,93780,10-07-2010,4.7,FALSE,187
18,Emp_18,Support,56,18,37121,21-10-2006,2.7,FALSE,165
19,Emp_19,Finance,,24,42964,19-12-2023,4.5,TRUE,139
20,Emp_20,HR,25,18,127530,07-02-2015,3.8,FALSE,154
21,Emp_21,Sales,28,3,149905,22-09-2014,3.8,FALSE,120
22,Emp_22,HR,28,23,90025,24-12-2009,4.1,FALSE,174
23,Emp_23,Support,28,26,108058,05-11-2021,4.2,FALSE,179
24,Emp_24,HR,28,15,58162,15-02-2012,3,TRUE,105
25,Emp_25,Sales,34,34,96772,20-01-2007,3.8,TRUE,121
26,Emp_26,Finance,37,27,100570,18-12-2011,3.5,FALSE,106
27,Emp_27,Finance,56,30,72747,14-07-2009,2.2,TRUE,141
28,Emp_28,Support,29,34,112325,15-04-2008,4.1,TRUE,149
29,Emp_29,Sales,32,11,55717,21-06-2015,3.6,TRUE,198
30,Emp_30,Support,42,18,79533,11-08-2021,4.9,FALSE,180
31,Emp_31,Engineering,35,4,46408,09-04-2021,3.3,TRUE,153
32,Emp_32,HR,34,1,98464,21-12-2013,3.9,TRUE,105
33,Emp_33,Sales,59,24,133463,01-05-2017,1,FALSE,148
34,Emp_34,HR,43,24,86246,19-11-2014,1.1,TRUE,149
35,Emp_35,HR,51,19,82580,09-12-2006,2.8,FALSE,126
36,Emp_36,Engineering,43,22,95708,04-03-2014,1.9,FALSE,172
37,Emp_37,Engineering,52,14,100763,29-01-2012,2.1,TRUE,131
38,Emp_38,Engineering,29,26,35053,15-07-2018,2.1,TRUE,198
39,Emp_39,Engineering,35,20,43283,27-10-2014,,FALSE,192
40,Emp_40,Finance,25,20,66533,10-07-2008,3.6,TRUE,103
41,Emp_41,Finance,31,12,126087,15-11-2020,1.6,TRUE,177
42,Emp_42,Finance,42,8,52617,30-07-2010,2.8,FALSE,162
43,Emp_43,Engineering,26,14,63759,17-02-2012,2.6,TRUE,132
44,Emp_44,Engineering,37,7,60349,07-07-2009,3.2,FALSE,177
45,Emp_45,Engineering,35,27,142631,26-01-2013,4.4,TRUE,158
46,Emp_46,Engineering,27,16,53295,29-09-2015,1.3,TRUE,128
47,Emp_47,Support,35,31,75586,28-06-2020,4.9,TRUE,144
48,Emp_48,Finance,22,8,61888,04-03-2020,,TRUE,151
49,Emp_49,Sales,,7,82079,16-12-2015,3.6,FALSE,134
50,Emp_50,Engineering,49,29,90368,24-03-2011,3.4,FALSE,116
51,Emp_51,Sales,48,7,75169,29-06-2011,3.4,FALSE,104
52,Emp_52,Sales,28,10,44945,06-06-2009,2.9,FALSE,166
53,Emp_53,Engineering,37,2,35907,03-08-2006,,TRUE,191
54,Emp_54,Support,43,2,63303,26-02-2013,1.3,FALSE,100
55,Emp_55,HR,54,11,87398,24-03-2019,1.8,FALSE,116
56,Emp_56,Finance,43,31,119471,07-03-2010,1.4,TRUE,106
57,Emp_57,HR,25,19,80949,20-11-2005,1.3,TRUE,129
58,Emp_58,Finance,55,5,39090,27-10-2012,1.4,TRUE,180
59,Emp_59,Support,47,10,,27-04-2019,1.5,FALSE,161
60,Emp_60,HR,49,18,148851,06-02-2021,2.6,FALSE,133
61,Emp_61,Finance,50,4,137094,21-07-2013,1.9,TRUE,157
62,Emp_62,HR,23,26,110798,10-12-2019,4,FALSE,122
63,Emp_63,Support,23,9,147579,06-02-2021,1.2,FALSE,145
64,Emp_64,Sales,27,25,138312,21-04-2023,4.8,FALSE,133
65,Emp_65,Engineering,48,17,91138,28-02-2020,1.4,FALSE,140
66,Emp_66,Sales,31,22,130326,17-09-2021,3.1,FALSE,116
67,Emp_67,Support,22,7,86223,04-07-2022,2.2,FALSE,129
68,Emp_68,Finance,59,4,60696,03-01-2023,3.9,TRUE,107
69,Emp_69,HR,53,16,149109,18-07-2014,2,TRUE,129
70,Emp_70,Finance,55,15,62944,17-03-2010,3.3,TRUE,182
71,Emp_71,Finance,37,6,69245,14-12-2022,1.1,TRUE,150
72,Emp_72,Engineering,57,8,146693,16-09-2010,4.7,TRUE,198
73,Emp_73,HR,26,34,125475,11-09-2009,3.6,FALSE,119
74,Emp_74,Finance,28,13,86302,27-10-2013,2.1,FALSE,151
75,Emp_75,Support,24,21,45787,26-06-2017,4.8,FALSE,174
76,Emp_76,HR,50,27,110315,07-12-2014,,TRUE,189
77,Emp_77,Engineering,35,30,77979,23-05-2021,1.2,FALSE,126
78,Emp_78,Finance,30,33,103751,14-05-2007,4,FALSE,132
79,Emp_79,Sales,55,3,64221,13-09-2018,2.2,FALSE,131
80,Emp_80,Sales,55,24,39550,25-09-2010,4.6,FALSE,149
81,Emp_81,Support,55,13,113560,07-09-2018,4.5,TRUE,124
82,Emp_82,Engineering,,32,57701,09-04-2021,5,TRUE,192
83,Emp_83,Finance,48,2,44668,01-06-2012,3.7,FALSE,101
84,Emp_84,Finance,52,27,93037,06-01-2020,2.5,TRUE,173
